Year,Title,Topic/Impact,Country Study Focus,Region,Spp,Taxa,Impact study
2012,Thermal optimum for pikeperch (Sander lucioperca) and the use of ventilation frequency as a predictor of metabolic rate,temp,Global,Global,pikeperch,finfish,No
2012,UVB Radiation Variably Affects n-3 Fatty Acids but Elevated Temperature Reduces n-3 Fatty Acids in Juvenile Atlantic Salmon (Salmo salar),temp,Global,Global,salmon,finfish,No
2012,Wastewater irrigation and environmental health: Implications for water governance and public policy,pollution,,,,,No
2013,A heart to heart on temperature: Impaired temperature tolerance of triploid rainbow trout (Oncorhynchus mykiss) due to early onset of cardiac arrhythmia,temp,Global,Global,trout,finfish,No
2013,Algae blooms in the Yellow Sea between 2010 and 2012 from MODIS observations,HAB,China,Asia,,,No
2013,"Comparison of the growth performance of offspring from cultured versus wild populations of arctic charr, Salvelinus alpinus (L.), kept at three different temperatures",temp,Global,Global,charr,finfish,No
2013,Cumulative Pressures on Sustainable Livelihoods: Coastal Adaptation in the Mekong Delta,"storms, extremes, floods,  sea levels",Vietnam,Asia,,,No
2013,Design theory in offshore fish cage designing,fisheries,Global,Global,,,No
2013,Detecting large scale conversion of mangroves to aquaculture with change point and mixed-pixel analyses of high-fidelity MODIS data,aquaculture,Global,Global,mangroves,,No
2013,Determining Optimum Temperature for Growth and Survival of Laboratory-Propagated Juvenile Freshwater Mussels,temp,Global,Global,mussel,mollusc,No
2013,Distribution of the invasive bryozoan Tricellaria inopinata in Scotland and a review of its European expansion,"invasives, OA",Scotland,Europe,,,No
2013,Drought and Flood Variations and Rationality of Land Use in Honghu Lake during the Last 50 Years,"drought, flood",China,Asia,,,No
2013,Economic Impacts of Climate Change on Two Mexican Coastal Fisheries: Implications for Food Security,fisheries,Mexico,Central America,,,No
2013,"Effect of temperature and salinity on egg hatching and description of the life cycle of Lernanthropus latis (Copepoda: Lernanthropidae) infecting barramundi, Lates calcarifer","temp, salinity, disease",Global,Global,barramundi,finfish,No
2013,"Elevated pCO(2) causes developmental delay in early larval Pacific oysters, Crassostrea gigas",OA,Global,Global,oyster,mollusc,No
2013,Food security and the Coral Triangle Initiative,fisheries,Global,"Asia, Oceania",,,No
2013,"Future socio-economic and environmental sustainability of the Irish Sea requires a multi-disciplinary approach with industry and research collaboration, and cross-border partnership","temp, disease, OA, hypoxia",Ireland,Europe,,,No
2013,IMPACT OF CLIMATE CHANGE ON THE DAILY WATER LEVEL FLUCTUATION OF LAKE SAPANCA,"temp, precipitation, storms/extremess",Turkey,Europe,,,Yes
2013,Impact of medium-term exposure to elevated pCO(2) levels on the physiological energetics of the mussel Mytilus chilensis,OA,Global,Global,mussel,mollusc,Yes
2013,Impacts and vulnerability of inland fisheries to climate change in the Ganga River system in India,"temp, precipitation, drought, storms/extremess, floods, sea level",India,Asia,hatcheries,general,Yes
2013,"Influences of Cyclic, High Temperatures on Juvenile Channel Catfish Growth and Feeding",temp,USA,North America/Caribbean,catfish,finfish,No
2013,Innovative Artificial Agro-Ecosystems Enhance Soil Carbon Sequestration in Coastal Zones of Southeast China,agriculture,China,Asia,,,No
2013,Introduced marine species in Croatian waters (Eastern Adriatic Sea),invasives,Croatia,Europe,,,No
2013,LCA and emergy accounting of aquaculture systems: Towards ecological intensification,"temp, OA",Global,Global,,,No
2013,Life Cycle Assessment for environmentally sustainable aquaculture management: a case study of combined aquaculture systems for carp and tilapia,pollution,Indonesia,Asia,"carp, talapia",finfish,No
2013,Linking prawn and shrimp farming towards a green economy in Bangladesh: Confronting climate change,"storms, extremes, floods,  sea levels",Bangladesh,Asia,shrimp,crustacea,No
2013,Marine research in the Iberian Peninsula: A pledge for better times after an economic crisis,all,Spain,Europe,,,No
2013,Mixed responses of tropical Pacific fisheries and aquaculture to climate change,"temp, sea level",SINs,Oceania,,,No
2013,Monitoring land cover dynamics in the Yellow River Delta from 1995 to 2010 based on Landsat 5 TM,"sea level, floods, pollution",China,Asia,,,No
2013,More rapid and severe disease outbreaks for aquaculture at the tropics: implications for food security,disease,Tropics,Global,shellfish,crustacea,No
2013,Oyster mortality in Delaware Bay: Impacts and recovery from Hurricane Irene and Tropical Storm Lee,stroms,USA,North America/Caribbean; Central America,oyster,mollusc,Yes
2013,Physiological and behavioral responses of temperate seahorses (Hippocampus guttulatus) to environmental warming,temp,Global,Global,seahorses,finfish,No
2013,"RNA-Seq reveals expression signatures of genes involved in oxygen transport, protein synthesis, folding, and degradation in response to heat stress in catfish",temp,Global,Global,catfish,finfish,No
2013,Securing ocean benefits for society in the face of climate change,All,Global,Global,,,No
2013,Selecting stocking density in different climatic seasons: A decision theory approach to intensive aquaculture,temp,Global,Global,shrimp,crustacea,No
2013,"Site-specific and integrated adaptation to climate change in the coastal mangrove zone of Soc Trang Province, Viet Nam","storms, extremes, floods,  sea levels",Vietnam,Asia,mangroves,,No
2013,Socio-economic impacts of ocean acidification in the Mediterranean Sea,OA,,Europe,,,Yes
2013,The impact of a moderate chronic temperature increase on spleen immune-relevant gene transcription depends on whether Atlantic cod (Gadus morhua) are stimulated with bacterial versus viral antigens,temp,Canada,North America/Caribbean,cod,finfish,Yes
2013,The times are changing: temporal shifts in patterns of fish invasions in central European fresh waters,invasives,Global,Europe,,,No
2013,Thermal Preference of Juvenile Dover Sole (Solea solea) in Relation to Thermal Acclimation and Optimal Growth Temperature,temp,Global,Global,sole,finfish,No
2013,Time consuming resource extraction in an overlapping generations economy with capital,all,Global,Global,,,No
2013,Towards improved socio-economic assessments of ocean acidification's impacts,OA,Global,Global,hactheries,general,Yes
2013,Transcriptional responses to temperature and low oxygen stress in Atlantic salmon studied with next-generation sequencing technology,"temp, hypoxia",Norway,Europe,salmon,finfish,No
2013,"Trends, current understanding and future research priorities for artisanal coral reef fisheries research",fisheries,Global,Global,coral reef fish,finfish,No
2013,"Twenty five years of freshwater aquaculture extension research in the Central Institute of Freshwater Aquaculture, Bhubaneswar, Odisha - a review",temp,India,Asia,freshwater aquaculture,general,No
2013,"Variation in temperature tolerance among families of Atlantic salmon (Salmo salar) is associated with hypoxia tolerance, ventricle size and myoglobin level",temp,Global,Global,salmon,finfish,No
2013,Women and fisheries: Contribution to food security and local economies,all,,,,,No
2014,A Quantitative Metric to Identify Critical Elements within Seafood Supply Networks,all,Global,Global,,,No
2014,Ancient Clam Gardens Increased Shellfish Production: Adaptive Strategies from the Past Can Inform Food Security Today,fisheries,Global,Global,,,No
2014,Assessment of chlorophyll variability along the northwestern coast of Iberian Peninsula,Chla,Spain,Europe,,,No
2014,Benthic community changes following the 2010 Hainan flood: Implications for reef resilience,flood,China,Asia,coral,other invert,No
2014,Climate and Human-induced Changes to Lake Ecosystems: What We Can Learn From Monitoring Zooplankton Ecology,chla,Germany,Europe,,,No
2014,Community- based climate change adaptation strategies for integrated prawn- fish- rice farming in Bangladesh to promote social- ecological resilience,"temp, drought, sea level",Bangladesh,Asia,shrimp,crustacea,No
2014,Does aquaculture add resilience to the global food system?,all,Global,Global,,,No
2014,Drifting algae and fish: Implications of tropical Sargassum invasion due to ocean warming in western Japan,HAB,Japan,Asia,,,No
2014,Ecological Variability and Carbon Stock Estimates of Mangrove Ecosystems in Northwestern Madagascar,aquaculture,Madagascar,Africa,mangroves,,No
2014,Exposure of Mediterranean Countries to Ocean Acidification,OA,Mediterranean,"Europe, Africa, Middle East",,,No
2014,Field scale evaluation of seaweed aquaculture as a nutrient bioextraction strategy in Long Island Sound and the Bronx River Estuary,mitigation,USA,North America/Caribbean,seaweed,aquatic plants,No
2014,Fishing for the impacts of climate change in the marine sector: a case study,all,Australia,Oceania,oyster,mollusc,Yes
2014,Fishing for the impacts of climate change in the marine sector: a case study,"temp, precipitation",China & Japan,Asia,scallop,mollusc,Yes
2014,Impacts of climate change on marine ecosystem production in societies dependent on fisheries,fisheries,Global,Global,,,No
2014,"Land cover and land use change related to shrimp farming in coastal areas of Quang Ninh, Vietnam using remotely sensed data",aquaculture,Vietnam,Asia,mangroves,,No
2014,Life in a shrimp zone: aqua- and other cultures of Bangladesh's coastal landscape,"storms, extremes",Bangladesh,Asia,shrimp,crustacea,No
2014,Mediterranean Aquaculture in a Changing Climate,"temp, sea level",Global,"Europe, Africa, Middle East",,,No
2014,Monitoring toxic Ostreopsis cf. ovata in recreational waters using a qPCR based assay,HAB,Mediterranean,"Europe, Africa, Middle East",,,No
2014,Numerical Simulation on Coastal Environment in Kamaishi Bay (Japan) by MEC Model,"pollution, storms, extremes",Japan,Asia,,,No
2014,Organic carbon inventories in natural and restored Ecuadorian mangrove forests,aquaculture,Ecuadore,South America,mangroves,,No
2014,Role of Anchovies and Sardines as Reduction Fisheries in the World Fish Meal Production Overview of the Interaction between the Resource and Environmental and Socioeconomic Drivers,feed,Global,Global,,,No
2014,"Sedimentation in the floodplains of the Mekong Delta, Vietnam Part II: deposition and erosion",flood,Vietnam,Asia,,,No
2014,Sequencing-based gene network analysis provides a core set of gene resource for understanding thermal adaptation in Zhikong scallop Chlamys farreri,temp,Global,Global,scallop,mollusc,No
2014,"Simulated Impacts of Climate Change on Current Farming Locations of Striped Catfish (Pangasianodon hypophthalmus; Sauvage) in the Mekong Delta, Vietnam","salinity, sea level, floods",Vietnam,Asia,catfish,finfish,Yes
