Date,Headline,Quote,State/Province,Country,Region,Topic,Taxa,Impact,Other,Occurrence
2009,FAO tells fishing industry to prepare for climate change,"FAO tells fishing industry to prepare for climate change ... according to the FAO publication, entitled ""The State of World Fisheries and Aquaculture"" (SOFIA).",,World,World,multiple,all,negative,impact,future
2009,Time to face global warming,"Stories about climate change appear almost every day in the ODT, the .... on our fisheries, with potentially catastrophic effects on aquaculture and coral reefs.",Dunedin,New Zealand,Oceania,"temp, OA",all,negative,impact,now
2010,Too hot to handle: Impacts of climate change on mussels,Climate change is causing higher air and water temperatures along the east coast ... for marine reserves and the future of the fishing and aquaculture industries.,East Coast,USA,North America/Caribbean,temp,mussels,negative,impact,future
2010,Sundarbans' Tigers Further Pushed Towards Extinction by Rising Sea ...,"Ponds for shrimp aquaculture, especially in Bangladesh, sit right at the edge of ... Oh, and if climate change doesn't do in these tigers, rampant poaching might.",,Bangladesh,Asia,sea level,shrimp,negative,impact,future
2010,Ocean acidification may threaten food security: UN,... Mexico (Reuters) - Acidification of the seas linked to climate change could ... Aquaculture production ranges from French mussels to shrimp in Thailand.,,Thailand,Asia,OA,"mussles, shrimp",negative,impact,future
2010,Algal blooms hit the poor of India hard,"It is also common for the water in the aquaculture ponds to be treated with ... ""We will also be producing models showing how climate change affects tropical ...",south-west coast,India,Asia,HAB,all,negative,impact,now
2010,UK's disappearing eels,"In a story of scientific mystery, climate change, business interests and tangled ... in captivity, wild stocks are the only source of fish for the aquaculture industry.",,UK,Europe,multiple,eel,negative,impact,now
2012,Climate Change Impacts: Challenges for Aquaculture,"Climate change is a reality and it will affect aquaculture. Sena S. De Silva of Deakin University, Australia discusses the challenges that climate change poses for ...",,World,World,multiple,all,negative,impact,future
2012,How Climate Change Is Changing The Oyster Business,"How Climate Change Is Changing The Oyster Business ... oyster flavor right now, it is adding up to a bit of an identity crisis for the region's aquaculture tradition.",Washington,USA,North America/Caribbean,OA,oysters,negative,impact,now
2011,The Coming Green Wave: Ocean Farming to Fight Climate Change,"Modeled on land-based factory livestock farms, aquaculture operations are infamous for their low-quality, tasteless fish pumped full of antibiotics and polluting ...",Maine,"USA, Spain",North America/Caribbean,C & N sink; bird sanctuary,"oyster, seaweed",positive,mitigate,future
2011,"Fishy consequences of transplanting trout, salmon, whitefishes: Some ...","""If these same populations can also deal with higher temperatures, they may be better suited for new aquaculture initiatives in the face of climate change. This is ...",BC,Canada,North America/Caribbean,temp,salmon,positive,adapt,future
2011,"Sea-level rise could ""displace millions""","Recent climate change in Vietnam is beyond the level of natural change, argues a ... such as encouraging villagers to switch to aquaculture from agriculture.",Can Tho,Vietnam,Asia,sea level,"fish, shrimp",positive,adapt,now
2011,"Weather change led to Batangas fishkill, says BFAR","The fishkill was the worst climate change disaster to hit Batangas, according to ... Aquaculture is a multimillion-peso enterprise in Batangas, with at least 6,000 ...",Batangas,Philippines,Asia,"temp, hypoxia",fish,negative,impact,now
2012,Adapting to climate change in the English Channel,A recent report published by the Marine Climate Change Impacts ... to the report to see how the British fisheries and aquaculture industry - worth over £1bn - can ...,English Channel,UK,Europe,temp,all,negative,impact,now
2012,"Sea squirts soaking NS mussel industry, aquaculture head says","Sea squirts soaking N.S. mussel industry, aquaculture head says ... “It's kind of sad,” he said, calling the problem a climate change issue connected to rising ...",,Canada,North America/Caribbean,"temp, invasive",mussels,negative,impact,now
2012,Climate Change and Its Influence On Investing: A New Perspective,"How many of you take climate change into consideration in your investment .... Contained fish farming, or aquaculture, like those found in Costa Rica for Tilapia",,World,World,multiple,all,neutral,adapt,future
2012,Visualizing BC's Climate Changed Future,"What was once agricultural land now holds farms for sustainable aquaculture. ... That may be the future, but the long-term effects of climate change are slow to ...",BC,Canada,North America/Caribbean,temp,all,positive,adapt,future
2011,FAO: Aquaculture in 2012 will supply more than 50% of world's fish ...,The report World Aquaculture 2010 found that global production of fish from ... other major challenges faced by aquaculture include climate change and the ...,,World,World,multiple,all,negative,impact,future
2011,A 'Blue Revolution' to fight hunger in Haiti and world,Modern marine aquaculture could put Haiti on the cutting edge of the fastest-growing ... is less susceptible than agriculture to the effects of climate change.,,Haiti,North America/Caribbean,multiple,all,positive,adapt,future
2012,"This Is Your Ocean on Acid, and It's Not Pretty",... makes up the lion's share — two-thirds — of the nation's aquaculture industry. .... predictions from the Intergovernmental Panel on Climate Change are correct.,Washington,USA,North America/Caribbean,OA,"oysters, clams, mussels and geoduck ",negative,impact,now
2011,The Top 5 Fish Stories of 2011,"Aquaculture, perhaps better known as fish farming, is certain to be a part of our future with the ... and increasing acidification as a result of global climate change.",,USA,North America/Caribbean,"temp, OA",all,positive,adapt,now
2012,Can shellfish be a profitable food source and clean up the Arabian Gulf?,"... coastal fisheries, industry, marine aquaculture and tourism for the region. ... to anthropogenic nutrient loading coupled with the dynamics of climate change.",Arabian Gulf ,UAE ,Middle East,"HAB, hypoxia",shellfish,negative,impact,now
2011,Study: Changes to ocean expected to damage shellfish around world,"... to adapt by shifting to other foods or aquaculture methods,"" said Jackie Savitz, ... because their fisheries are no longer available as a result of climate change, ...",,World,World,multiple,shellfish,positive,adapt,future
2011,How to feed 9 billion people: the future of food and farming,"And, even with immediate policy changes, climate change has locked in weather ... crops and aquaculture, even making use of saltwater without desalination.",,World,World,multiple,all,positive,adapt,future
2011,"Climate change blamed for storms, flooding, drought","“With the climate change scenario, we will see more of this as a frequent reality,” Yumul ... But the proliferation of fishponds and aquaculture projects in the major ...",,Philippines,Asia,storms,fish,negative,impact,now
2011,Mississippi Floods Could Spread the Invasive Asian Carp,The fish were imported from Asia—where they've been raised in aquaculture for .... as ours—thanks to climate change and human development—the distinction ...,Mississippi,USA,North America/Caribbean,"storms, flood, invasive",fish,negative,impact,now
2013,Climate change a 'mixed bag' for Pacific Island fisheries and aquaculture,"Their research suggests that predicted climate change in the region will create winners and losers in both fisheries and aquaculture, requiring adaptation by ...",,Pacific Ilands,Oceania,multiple,all,"negative, positive",impact,future
2013,"Amid Perfect Storm of Climate Challenges, Can Aquaculture Net Food ...","It is difficult to find a country feeling the negative impacts of climate change more severely than Bangladesh. Name any alarming, seemingly far off effect of a ...",,Bangladesh,Asia,"storms, flood, drought",all,negative,impact,now
2013,"On the Rebound, New England Oysters Face Climate Change Threat","As their efforts start to bear fruit, the ocean impacts of climate change may test ... to the Northeast Regional Aquaculture Center, up from handfuls 25 years ago.",Rhode Island,USA,North America/Caribbean,"OA, disease",oysters,negative,impact,now
2013,Monterey Bay affected by climate change,"The trickle-down effect of climate change can be seen from the highest ... he said, where poor calcification has affected young oysters in aquaculture operations.",West Coast,USA,North America/Caribbean,OA,shellfish,negative,impact,now
2013,Warmer World Threatens Livelihoods in South East Asia,"In the near-term, climate change, which is already unfolding, could greatly ... Agriculture, aquaculture, fisheries, and tourism are the most exposed sectors to ...",,SE Asia,Asia,temp,all,negative,impact,now
2013,Global warming is causing Alaska to rise and Boston to sink,"Climate-change skeptics can always seize on some inconvenient truths about the ... Intensive use of water for aquaculture, for example, is causing sea levels ...","Alaska, Boston",USA,North America/Caribbean,"temp, sea level",all,negative,impact,now
2013,FAO workshop on crises in Africa,"Industry specialists will gather to discuss climate change, disasters and crises in the fisheries and aquaculture sector in Southern and Eastern Africa. Its aim is to ...",South & East,Africa,Africa,multiple,all,negative,impact,now
2013,Chinese sea level worry,This could spell bad news for the Chinese aquaculture industry. ... Sea levels are rising already as a consequence of climate change and this has consequences ...,,China,Asia,sea level,all,negative,impact,future
2013,"Global warming puts Vietnam livelihoods under threat, World Bank ...","Climate change's consequences like tropical storms, salinity intrusion, and coastal floods, would also threaten aquaculture, a rapidly growing industry that is ...",,Vietnam,Asia,"temp, sea level, storms",all,negative,impact,future
2013,"CO2 causing oceans to acidify at 'unprecedented' rate, scientists warn","This decreases the ocean's role in moderating climate change,"" they write. ..... the impact acidification would have on biodiversity and aquaculture and the ...",,World,World,OA,shellfish,negative,impact,future
2013,Expert assessment: Ocean acidification may increase 170 percent this ...,NA,,World,World,OA,all,negative,impact,future
2013,Newfoundland & Labrador,A new Climate Change Projection study was released by the Newfoundland ... -Warmer temperatures may increase aquaculture productivity but also bring risks ...,Newfoundland,Canada,North America/Caribbean,temp,all,"postive, negative",impact,future
2013,Latest Species Threatened by Climate Change: Mussels,"Latest Species Threatened by Climate Change: Mussels .... For the worldwide mussel aquaculture business, valued at $1.5 billon US in 2009, the news is almost ...",San Juan Islan,USA,North America/Caribbean,OA,mussels,negative,impact,future
2013,Fish farms cause relative sea-level rise,"... 2007 Intergovernmental Panel for Climate Change report, is likewise surprised by ... Planners should be aware of the impact that this kind of aquaculture can ...",Yellow River,China,Asia,sea level,fish,negative,impact,now
2013,XPRIZE Spurs Innovators to Tackle Climate Change's Evil Twin ...,XPRIZE Spurs Innovators to Tackle Climate Change's Evil Twin: Ocean ... figure out what fisheries are most at risk and where to place new aquaculture facilities.,,World,World,OA,shellfish,negative,impact,future
2013,"The Lobster Bubble: Maine's Lobster Boom, And Why Experts Predict ...","If not for climate change, the lobster fishery could be extremely sustainable, a shining ... Belle doesn't believe that aquaculture will save Maine's lobsters.",Maine,USA,North America/Caribbean,temp,shellfish,positive,adapt,future
2013,Ocean Acidification Affects Northeastern US Coasts More,"... implications for people who rely on aquaculture and fisheries,"" Wang said. ... If so, climate change could melt sea ice and glaciers and bring in more fresh ...",NE Coast,USA,North America/Caribbean,OA,all,negative,impact,now
2013,New study reveals how sensitive US East Coast regions may be to ...,NA,"East Coast, GOM",USA,North America/Caribbean,"OA, hypoxia",all,negative,impact,future
2013,Climate Change Conjures Up 'Alarming' Scenarios in Southeast Asia,"The climate change effects will also dampen the region's tourism industry, a top ... sea-level rise is already affecting freshwater and brackish aquaculture farms.",Mekong Delta ,Vietnam,Asia,sea level,all,negative,impact,now
2013,Blue mussels 'hang on' along rocky shores: For how long?,... results in the journal Nature Climate Change; O'Donnell is the lead author. ... a global blue mussel aquaculture industry valued at U.S. $1.5 billion each year.,,World,World,multiple,mussels,negative,impact,future
2013,Talk series to highlight Gulf revival,"Cawthron Institute Aquaculture Scientist Dr Norman Ragg says that if funding ... in selective breeding, and the effects of climate change on aquaculture species.",Auckland and Northland,New Zealand,Oceania,multiple,mussels,negative,impact,now
2013,Acidic oceans threaten shellfish industry,"Ocean acidification, the seaborne sibling of climate change, is caused by the ... biggest aquaculturebusiness and the largest single species seafood export, ...",Otago,New Zealand,Oceania,OA,shellfish,negative,impact,now
2014,Aquaculture industry facing challenges from climate change - ABC ,The CSIRO has told a world aquaculture conference in Adelaide the industry already is facing challenges from climate change. The fast-growing industry ...,,Australia,Oceania,OA,shellfish,negative,impact,now
2014,Aquaculture at Threat from Climate Change,"GLOBAL - Global warming continues to be an issue of increasing relevance to marine aquaculture. Over the past few years, a number of serious disasters and ...",,Asia,Asia,multiple,all,negative,impact,now
2014,UN climate change report card: Scientists predict Australia will ...,"""We have a lot of scientists working on climate change issues and that is because ... fishing and other aquaculture industries in line with these changing patterns.",,Australia,Oceania,temp,all,positive,adapt,future
2014,The Fishing Industry Is Poised To Lose Billions Due To Climate ...,The authors found that climate change puts the 400 million people who depend ... the cumulative impacts will be on the fisheries and aquaculture industries.”.,"Willapa Bay, Washington",USA,North America/Caribbean,OA,shellfish,negative,impact,now
2014,"Dead zones are coming for your rivers, lakes, and oceans","Halloween may have come and gone, but climate change continues to give us ... to HAB events, increased regional HAB impacts to aquaculture, increased risks ...",Northern,Europe,Europe,"HAB, hypoxia",all,negative,impact,future
2014,Increasingly acidic oceans threaten world's mussel populations,Mussel shells could become more brittle as climate change causes acidity of world's ... The world's mussel population could be under threat as climate change ...,,UK,Europe,OA,mussels,negative,impact,future
2014,Agriculture in Australia: growing more than our farming future,"... of climate “shocks” are likely to increase due to the effects of climate change. ... 10-15% of grains, up to 50% of aquaculture and more than 20% of livestock ...",,World,World,disease,all,negative,impact,future
2014,Global initiatives can't be allowed slip through the net,"Global societal challenges such as climate change, food security, ageing ... marine pollution, as well as climate change impacts on fisheries and aquaculture.",,Europe,Europe,multiple,all,negative,impact,future
2014,Improving Fish Farming - in the Heart of the Negev Desert,"Okay, why study fish farming (and disease) in the middle of the desert? ... As one of the effects climate change is expected to have on Israel is desertification, the ...",,Israel,Middle East,freshwater,all,positive,adapt,future
2014,Researchers discover oysters can adapt to climate change,"""That could be implemented in aquaculture, we can maybe breed for adaptation to ... oysters will be critical to their industry's ability to cope with climate change.",,World,World,OA,oysters,positive,adapt,future
2014,"Oyster herpes', warming oceans devastating $4 billion industry",Researchers suspect climate change risks compounding the losses. ... effects of a warming ocean on a global fisheries and aquaculture industry that provides as ...,,Australia,Oceania,"temp, disease",oysters,negative,impact,now
2014,Tasty Mutants: The Invention of the Modern Oyster,"It turns out Guo, a post-graduate student from China, the aquaculture capital of the .... is under duress from climate change and the resulting ocean acidification.",,World,World,OA,oysters,positive,adapt,future
2014,Tacloban: In the jaws of a 'climate sandwich',Tacloban City was deemed the most vulnerable to climate change among 4 Philippine ... Municipal fisheries reported a 63% increase in catch while aquaculture ...,MANILA,Philippines,Asia,OA,shellfish,negtive,impact,future
2014,6 ways climate change will affect PH cities,"MANILA, Philippines – Climate change is happening now and it's happening, not ... agriculture and aquaculture sectors which are highly dependent on weather.",MANILA,Philippines,Asia,storms,all,negative,impact,future
2014,Rising tide: long-term ramifications of global warming on the country's ...,"The most recent U.N. Intergovernmental Panel on Climate Change report ... as rice farming, fisheries and aquaculture located along the country's coastlines.",,World,World,"temp, sea level",all,negative,impact,future
2014,Ground zero for future of oyster farming,"But the shellfish farming industry's future is clouded by climate change, and Hog ... and the U.S. Department of Commerce predicts that the nation's aquaculture ...",Washington,USA,North America/Caribbean,OA,shellfish,negative,impact,now
2014,Venice: The Bangladesh of the West,"... water intrusion threatening drinking water supply, agriculture, and aquaculture. ... “Bangladesh is one of the most affected places by climate change and by ...",,Bangladesh,Asia,sea level,all,negative,impact,future
2015,Climate Change Shrinking Uganda's Lakes and Fish,"KAMPALA, Aug 22 2015 (IPS) - Climate change is reducing the size of ... for aquaculture at Uganda's National Agriculture Research Organisation (NARO).",,Uganda,Africa,multiple,all,positive,adapt,future
2015,"Climate change poses 'major threat' to food security, warns UN expert","Climate change poses severe and distinct threats to food security, and could ... fisheries, aquaculture and on people's livelihoods,” she added, warning that ...",,World,World,multiple,all,negative,impact,future
2015,Climate Change Effects: Global Warming Threatens World's Food ...,NA,,World,World,temp,all,negative,impact,future
2015,Caribbean Looks to Aquaculture Food Security to Combat Climate ...,Caribbean Looks to Aquaculture Food Security to Combat Climate Change ... aquaculture as a food security option in combatting global climate change.,,Caribbean,North America/Caribbean,multiple,all,positive,adapt,future
2015,7 Ways the Outcome of Paris Climate Talks Will Impact Your Day-to ...,"Climate change is already impacting crop yields around the world, especially ... on fisheries and aquaculture, that's a big deal—and you can forget about sushi.",,World,World,OA,shellfish,negative,impact,future
2015,Maine isn't doing enough to protect Gulf from effects of climate change,hen the Maine Legislature's commission on ocean acidification reported its findings – that the state's fisheries and aquaculture industries were threatened by this ...,Maine,USA,North America/Caribbean,OA,shellfish,negative,impact,future
2015,New aquaculture research projects,"In the UK, the value of aquaculture in producing finfish such as salmon and sea trout ... the influence of climate change on harmful algal blooms and aquaculture, .",,World,World,"HAB, disease",salmon,negative,impact,future
2015,"Climate change, gill disease under the microscope at new salmon ...",A new aquaculture research centre in Hobart's south is expected to help reduce ... cost of salmon production and help fish farms better deal with climate change.,Tasmania,Australia,Oceania,disease,fish,negative,impact,now
2015,Green Growth: Putting Morocco in the Lead against Climate Change,"Green Growth: Putting Morocco in the Lead against Climate Change .... develop sustainable aquaculture in rural areas where 70 percent of the poor live, and ...",,Morocco,Africa,multiple,all,positive,adapt,future
2015,Shellfish can't keep up with shifting ocean chemistry,... of global climate change – may be creating a far worse problem: an acid sea. .... he state's aquaculture industry is extremely concerned about acidification.,,USA,North America/Caribbean,OA,shellfish,negative,impact,now
2015,Oceans—and ocean activism—deserve broader role in climate ...,Oceans—and ocean activism—deserve broader role in climate change ... aquaculture itself is anticipated to feel some negative impacts from climate change.,,World,World,multiple,all,negative,impact,future
2015,Will climate change put mussels off the menu?,"Climate change models predict that sea temperatures will rise significantly, including in the tropics. In these areas, rainfall is also predicted to increase, reducing ...",South-West,India,Asia,"temp, HAB, precipitation",mussels,negative,impact,future
2015,From Risk to Resilience: Preparing US Coasts for Climate Change,"The communities built around the country's beaches and working harbors capitalize on marine natural resources to promote fishing, tourism, aquaculture, and ...",,USA,North America/Caribbean,multiple,all,negative,impact,future
2015,Three Tools to Solve The Mystery of Ocean Acidity,... Panel on Climate Change assessment chapter dealing with ocean impacts. He said ... “It could be aquaculture; it could be in marine protected areas.”.,,World,World,OA,shellfish,negative,impact,future
2015,How coastal communities with shellfisheries can prepare for ocean ...,NA,,World,World,OA,shellfish,negative,impact,future
2015,Oyster farmers worried as climate change lowers ocean pH,"That culprit, ocean acidification, is the caustic cousin of climate change, and it ... to better understand ocean acidification's effect on Tomales Bay aquaculture.",Washington,USA,North America/Caribbean,OA,shellfish,negative,impact,now
2015,Maine Farmers and Climate Change,"Climate change affects all farmers regardless of their location; their farming ... and blueberries, as well as aquaculture products (farmed fish and shellfish).",Maine,USA,North America/Caribbean,multiple,all,negative,impact,future
2015,Floating Farms Proposed for City Sustainability,"... the current challenges of cities growing, land consumption and climate change, ... Based on a multi-layered floating farm design, which combines aquaculture ...",,World,World,multiple,all,positive,adapt,future
2015,Climate change may lead to more malnutrition – UN,"Climate change severely threatens food security, which could then subject an ... aquaculture and on people's livelihoods,” Elver said in a press statement.",,World,World,multiple,all,negative,impact,future
2015,GreenWave ocean farming model scoops $100000 sustainability prize,"He then turned to aquaculture farming in Canada as a more sustainable ... we face, including overfishing and climate change, growing new sources of fuel and ...",,World,World,multiple,seaweed,positive,adapt,future
2015,Is Salmon Raised on Land the Future of Seafood?,"Considered a model for sustainable aquaculture, Kuterra recycles its water, ... decline of wild Pacific salmon, including climate change, overfishing, and logging.",BC,Canada,North America/Caribbean,multiple,salmon,positive,adapt,future
2015,Caribbean urged to reverse decline in aquaculture,"... and unreported fishing; as well as the adverse effects of climate change. ... Today, aquaculture is the fastest growing food production sector in the world,” ...",,Caribbean,North America/Caribbean,multiple,all,positive,adapt,future
2015,"Climate change poses threat to fish, health: report","The report, titled Shock Waves, characterises poverty and climate change as “the two ... Navarro said the “Government is already encouraging aquaculture and ...",Mekong Delta ,Vietnam,Asia,multiple,all,positive,adapt,future
2015,How Washington Transformed Its Dying Oyster Industry Into A Climate ...,"Throughout the entire state of Washington, shellfish aquaculture was ... to as “the other carbon problem,” the first carbon problem being global climate change.",Washington,USA,North America/Caribbean,OA,oysters,negative,impact,now
2015,Mekong to battle climate change,"... needs of the Cuu Long (Mekong) Delta to battle the impact of climate change ... the delta into the key of agriculture production and aquaculture in the country, ...",Mekong Delta ,Vietnam,Asia,multiple,all,positive,adapt,future
2015,Fishermen's Views of a Changing Ocean,"When we think about climate change, we tend to think of it in terms of future impact. ... Oyster aquaculture operations in the Pacific Northwest are struggling to ...",Washington,USA,North America/Caribbean,OA,oysters,negative,impact,now
2015,How Climate Change Will Transform Work,"In Bangladesh, for example, where climate change and sea level rise will ... some farmers have tried to adapt by turning to small-scale aquaculture operations.",,Bangladesh,Asia,sea level,all,positive,adapt,now
2015,Pacific Islands encouraged to increase use of FADs,"... for pond aquaculture, and few options to produce other sources of protein. ... on coral reef ecosystems and help them adapt to the effects of climate change.",,Pacific Ilands,Oceania,multiple,all,negative,impact,future
2015,"It's the Economy (and the Environment), Stupid","In 2013, the value of Rhode Island aquaculture products for consumption was ... means accounting for climate-change impacts, investing in communities, and ...",Rhode Island,USA,North America/Caribbean,multiple,all,positive,adapt,future
2015,"Ask the real experts about ocean acidification, not climate science ...",... and there's no evidence that extra carbon dioxide causes climate change. ... because it was threatening commercial aquaculture operations on the west coast.,,World,World,OA,all,negative,impact,now
2015,"Rising ocean temperatures will affect oyster toxicity, scientists find","... absorb toxins in an attempt to prepare for the forecast effects of climate change. ... ""It'll help aquaculture farmers and public health bodies like NSW Food ...",,Wales,Europe,"temp, HAB",oysters,negative,impact,future
2016,Keeping the Paris Agreement's climate technology promise,"Climate technology can mean wind and solar, but it can equally mean technologies to adapt fisheries and aquaculture or to address climate change-induced ...",,World,World,multiple,all,negative,impact,future
2016,Climate change 'threatens Thai fight against illegal fishing',"SAMUT SAKHON, Thailand (Reuters) - While the government has sought to avoid an EU ban, it has not done enough to address the effects of climate change on marine aquaculture",,Thailand,Asia,multiple,all,negative,impact,now
2016,Indian fisheries sector status report Submitted,"... Fisheries Research Institute (CMFRI), has submitted the Country Status Report (CSR) on the impact of climate change on coastal fisheries and aquaculture ...",,India,Asia,multiple,all,negative,impact,now
2016,Catfish spawn climate solution for Kenya's dryland farmers,“It's my hope that fish farming in this region will stand the test of time given the tough and changing climatic conditions.” Mature catfish sell for KES 500 ($4.93) ...,,Kenya,Africa,multiple,catfish,positive,adapt,now
2016,Burundian farmers coping with climate change thanks to FAO,The promotion of resilient animal breeding and aquaculture is also a priority in ad,,Burundi,Africa,multiple,all,positive,adapt,future
2016,This Former Fisherman Is Now Farming the Most Sustainable Food on ...,I ended up in Northern Canada on an aquaculture farm. ... For a long time I'd seen climate change only as an environmental issue because environmentalists ...,,Canada,North America/Caribbean,"OA, temp","shellfish, seaweed",positive,adapt,future
2016,Climate change: Scientists seek to find the 'tipping point' of ocean ...,Climate change: Scientists seek to find the 'tipping point' of ocean acidification ... of the global threat it poses to coral communities and shellfish aquaculture.,,World,World,OA,shellfish,negative,impact,now
2016,Study: Climate change could make fisheries lose boatloads of money,"To adapt to climate change, many fisheries are considering aquaculture as the solution — the almighty silver bullet. Aquaculture, which is also known as ""farm ...",,Tropical countries,Oceania,multiple,all,neutral,adapt,future
2016,Climate change threat to artemia challenges shrimp farming ...,"The potential shortage of artemia is the biggest challenge to shrimp aquaculturedevelopment in coming years, Latin American shrimp farmers told Undercurrent ...",,Latin American ,South America,food limit,shrimp,negative,impact,future
2016,The impact of climate change on global food security: a fisheries ...,Opening up this conversation to include capture-fisheries and the aquaculture sector is imperative to ensure comprehensive assessments of climate change ...,,World,World,multiple,all,negative,impact,future
2016,5 things Morocco is doing about Climate Change,"To cope with the impact of climate change, Morocco has adopted a series of ... coastal zone management and the development of sustainable aquaculture.",,Morocco,Africa,multiple,all,positive,adapt,future
2016,Ocean farmers are using technology to start an economic revolution ...,"For a long time I'd seen climate change only as an environmental issue because ... As ocean farmers, we reject aquaculture's obsession with monoculture, an ...",,Canada,North America/Caribbean,multiple,"shellfish, seaweed",positive,adapt,future
2016,Nova Scotia oyster producers guarding against bacteria spread by ...,"... Scotia oyster producers guarding against bacteria spread by climate change ... Tom Smith, executive director of the Aquaculture Association of Nova Scotia, ...",Nova Scotia,Canada,North America/Caribbean,"temp, disease",oysters,negative,impact,now
2016,Global Fisheries Will Lose $10BA Year To Climate Change By 2050,Global Fisheries Will Lose $10B A Year To Climate Change By 2050 ... “Climate adaptation programs such as aquaculture development may be seen as a ...,,World,World,multiple,all,positive,adapt,future
2016,Effects of rising ocean acidification on fisheries in spotlight,"Climate change may hurt salmon farms ... But coastal waters, where most of our aquaculture goes on, gets a double whammy with nutrient runoff from the land ...",,New Zealand,Oceania,OA,"salmon, mussels, oysters",negative,impact,future
2016,Transcriptome and biomineralization responses of the pearl oyster ...,Our study therefore might have potential implications for predictions of the effects of global climate change on pearl aquaculture. Further studies are needed to ...,,World,World,OA,oysters,negative,impact,future
2016,Guest Post: What does the Paris Agreement mean for the oceans?,"How serious will the impacts of climate change be on the oceans by the end of the ... The risk to mid-latitude seagrass, bivalve fisheries and aquaculture moves ...",,World,World,multiple,bivalves,negative,impact,future
2016,Lobster industry shake-up predicted after Tasmanians find 'holy grail ...,"Researchers are claiming a world-first aquaculture breakthrough in ... we can better understand their ecology and the effect of things like climate change."".",,Australia,Oceania,multiple,lobster,positive,adapt,future
2016,Scientists spawn and hatch Arctic cod in lab,"While the aim of NOAA's research is to learn the effects of climate change on the species, there are also benefits to be had for the aquaculture industry, with a ...",,USA,North America/Caribbean,multiple,cod,positive,adapt,future
2016,Kelp is on its way: seaweed can tackle climate change,Farming seaweed around Scotland could help meet national climate change ... academics and the aquaculture industry to explore commercial cultivation to reap ...,,Scotland,Europe,multiple,seaweed,positive,adapt,future
2016,"As Oceans Continue to Warm, Consequences Grow More Dire, Study ...","Both fisheries and aquaculture would be ""severely affected"" if humans fail to ... Intergovernmental Panel on Climate Change report, covered other issues as well, ...",,World,World,temp,all,negative,impact,future
2016,The Bangladesh shrimp farmers facing life on the edge,"Rahman is from the coastal district of Khulna, the heartland of Bangladesh's aquaculture ... It's only a matter of time before the effects of climate change begin to .",,Bangladesh,Asia,multiple,all,negative,impact,future
2016,Can oyster farms make Puget Sound a little more wild?,"... and build reefs that can buffer against climate-change-induced sea-level rise. And here in Washington, expanding oyster aquaculture may, by necessity, ...",Washington,USA,North America/Caribbean,sea level,oysters,positive,adapt,future
2016,UN agriculture chief stresses role of healthy oceans as drivers of ...,"According to FAO, fisheries and aquaculture make a significant contribution to food ... Yet, attention to climate change impacts on the ocean has lagged behind ",,World,World,,,,,
